K;Detector;Keypoint1;Keypoint11;Keypoint2;Keypoint22;Descriptor;Descriptor1;Descriptor2;Matching;Matcher;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;114.0;114.0;114.0;114.0;0.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.049164533615112305;0.004634380340576172
0.0;0.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;nan;nan;nan;nan;2.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;114.0;110.0;114.0;110.0;3.0;110.0;110.0;4.0;0.0;89.0;89.0;100.0;0.056234121322631836;0.0013730525970458984;0.0039014816284179688
0.0;0.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;114.0;114.0;114.0;114.0;5.0;114.0;114.0;4.0;0.0;93.0;93.0;100.0;0.056234121322631836;0.05598759651184082;0.004296541213989258
0.0;0.0;114.0;67.0;114.0;67.0;6.0;67.0;67.0;4.0;0.0;52.0;52.0;100.0;0.056234121322631836;0.0006930828094482422;0.0032854080200195312
0.0;0.0;114.0;102.0;114.0;102.0;7.0;102.0;102.0;4.0;0.0;102.0;102.0;100.0;0.056234121322631836;0.0004684925079345703;0.003558635711669922
0.0;0.0;114.0;114.0;114.0;114.0;8.0;114.0;114.0;4.0;0.0;92.0;92.0;100.0;0.056234121322631836;0.001708984375;0.004179477691650391
0.0;0.0;114.0;103.0;114.0;103.0;9.0;103.0;103.0;4.0;0.0;103.0;103.0;100.0;0.056234121322631836;0.0003142356872558594;0.0032372474670410156
0.0;0.0;114.0;114.0;114.0;114.0;10.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.009844541549682617;0.004182338714599609
0.0;0.0;114.0;114.0;114.0;114.0;11.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.009810447692871094;0.004163026809692383
0.0;0.0;114.0;114.0;114.0;114.0;12.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00991511344909668;0.004259824752807617
0.0;0.0;114.0;114.0;114.0;114.0;13.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.009248971939086914;0.0041921138763427734
0.0;0.0;114.0;114.0;114.0;114.0;14.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.0006067752838134766;0.004013776779174805
0.0;0.0;114.0;114.0;114.0;114.0;15.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00044465065002441406;0.004162788391113281
0.0;0.0;114.0;114.0;114.0;114.0;16.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00038623809814453125;0.004018306732177734
0.0;0.0;114.0;114.0;114.0;114.0;17.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00039005279541015625;0.004007577896118164
0.0;0.0;114.0;114.0;114.0;114.0;18.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.0003418922424316406;0.00394892692565918
0.0;0.0;114.0;114.0;114.0;114.0;19.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00034618377685546875;0.003842592239379883
0.0;0.0;114.0;114.0;114.0;114.0;20.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.00034356117248535156;0.003856182098388672
0.0;0.0;114.0;114.0;114.0;114.0;21.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.0004024505615234375;0.003884553909301758
0.0;0.0;114.0;114.0;114.0;114.0;22.0;114.0;114.0;4.0;0.0;114.0;114.0;100.0;0.056234121322631836;0.0035593509674072266;0.004188060760498047
