K;Detector;Keypoint1;Keypoint11;Keypoint2;Keypoint22;Descriptor;Descriptor1;Descriptor2;Matching;Matcher;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;553.0;553.0;553.0;553.0;0.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.09480738639831543;0.008335113525390625
0.0;0.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;nan;nan;nan;nan;2.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;553.0;530.0;553.0;530.0;3.0;530.0;530.0;4.0;0.0;408.0;408.0;100.0;0.1011509895324707;0.005635499954223633;0.011541366577148438
0.0;0.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;553.0;553.0;553.0;553.0;5.0;553.0;553.0;4.0;0.0;426.0;426.0;100.0;0.1011509895324707;0.10051393508911133;0.0080108642578125
0.0;0.0;553.0;440.0;553.0;440.0;6.0;440.0;440.0;4.0;0.0;331.0;331.0;100.0;0.1011509895324707;0.002781391143798828;0.006551504135131836
0.0;0.0;553.0;489.0;553.0;489.0;7.0;489.0;489.0;4.0;0.0;488.0;488.0;100.0;0.1011509895324707;0.0013573169708251953;0.006384611129760742
0.0;0.0;553.0;553.0;553.0;553.0;8.0;553.0;553.0;4.0;0.0;423.0;423.0;100.0;0.1011509895324707;0.0035696029663085938;0.009369611740112305
0.0;0.0;553.0;496.0;553.0;496.0;9.0;496.0;496.0;4.0;0.0;492.0;492.0;100.0;0.1011509895324707;0.0008289813995361328;0.0053882598876953125
0.0;0.0;553.0;553.0;553.0;553.0;10.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.035564422607421875;0.00784611701965332
0.0;0.0;553.0;553.0;553.0;553.0;11.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.037857770919799805;0.007181406021118164
0.0;0.0;553.0;553.0;553.0;553.0;12.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.03667593002319336;0.0071604251861572266
0.0;0.0;553.0;553.0;553.0;553.0;13.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.03460049629211426;0.007104635238647461
0.0;0.0;553.0;553.0;553.0;553.0;14.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0012366771697998047;0.007555723190307617
0.0;0.0;553.0;553.0;553.0;553.0;15.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0010113716125488281;0.006803989410400391
0.0;0.0;553.0;553.0;553.0;553.0;16.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0009641647338867188;0.006821393966674805
0.0;0.0;553.0;553.0;553.0;553.0;17.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0008199214935302734;0.006967782974243164
0.0;0.0;553.0;553.0;553.0;553.0;18.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0008776187896728516;0.0064089298248291016
0.0;0.0;553.0;553.0;553.0;553.0;19.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.00104522705078125;0.0064122676849365234
0.0;0.0;553.0;553.0;553.0;553.0;20.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0009102821350097656;0.006289243698120117
0.0;0.0;553.0;553.0;553.0;553.0;21.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.0008015632629394531;0.006206512451171875
0.0;0.0;553.0;553.0;553.0;553.0;22.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.006794452667236328;0.007266998291015625
0.0;0.0;553.0;553.0;553.0;553.0;23.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.007295370101928711;0.007259368896484375
0.0;0.0;553.0;553.0;553.0;553.0;24.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.007108449935913086;0.007302999496459961
0.0;0.0;553.0;553.0;553.0;553.0;25.0;553.0;553.0;4.0;0.0;553.0;553.0;100.0;0.1011509895324707;0.006267070770263672;0.0065233707427978516
0.0;0.0;553.0;553.0;553.0;553.0;26.0;553.0;553.0;4.0;0.0;534.0;534.0;100.0;0.1011509895324707;0.0037844181060791016;0.006708860397338867
0.0;1.0;64.0;64.0;64.0;64.0;0.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.024335861206054688;0.004269599914550781
0.0;1.0;64.0;64.0;64.0;64.0;1.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.06739449501037598;0.0032732486724853516
0.0;1.0;64.0;64.0;64.0;64.0;2.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.004855155944824219;0.0033931732177734375
0.0;1.0;64.0;64.0;64.0;64.0;3.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0013427734375;0.0031015872955322266
0.0;1.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;1.0;64.0;64.0;64.0;64.0;5.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.09950780868530273;0.004127025604248047
0.0;1.0;64.0;63.0;64.0;63.0;6.0;63.0;63.0;4.0;0.0;63.0;63.0;100.0;0.0771334171295166;0.0008075237274169922;0.0033419132232666016
0.0;1.0;64.0;64.0;64.0;64.0;7.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0004429817199707031;0.0030052661895751953
0.0;1.0;64.0;64.0;64.0;64.0;8.0;64.0;64.0;4.0;0.0;62.0;62.0;100.0;0.0771334171295166;0.002286672592163086;0.0033216476440429688
0.0;1.0;64.0;64.0;64.0;64.0;9.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0005309581756591797;0.0032804012298583984
0.0;1.0;64.0;64.0;64.0;64.0;10.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.009056329727172852;0.0034270286560058594
0.0;1.0;64.0;64.0;64.0;64.0;11.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.008402347564697266;0.003721475601196289
0.0;1.0;64.0;64.0;64.0;64.0;12.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.008840322494506836;0.0037300586700439453
0.0;1.0;64.0;64.0;64.0;64.0;13.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.007788896560668945;0.0036728382110595703
0.0;1.0;64.0;64.0;64.0;64.0;14.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0005712509155273438;0.0031785964965820312
0.0;1.0;64.0;64.0;64.0;64.0;15.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0005977153778076172;0.003334522247314453
0.0;1.0;64.0;64.0;64.0;64.0;16.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0005450248718261719;0.00327301025390625
0.0;1.0;64.0;64.0;64.0;64.0;17.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.00045990943908691406;0.0033240318298339844
0.0;1.0;64.0;64.0;64.0;64.0;18.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0004742145538330078;0.003269195556640625
0.0;1.0;64.0;64.0;64.0;64.0;19.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0005731582641601562;0.0033478736877441406
0.0;1.0;64.0;64.0;64.0;64.0;20.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.000484466552734375;0.0033111572265625
0.0;1.0;64.0;64.0;64.0;64.0;21.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0004067420959472656;0.003306150436401367
0.0;1.0;64.0;64.0;64.0;64.0;22.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0027184486389160156;0.003564596176147461
0.0;1.0;64.0;64.0;64.0;64.0;23.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0023725032806396484;0.0036809444427490234
0.0;1.0;64.0;64.0;64.0;64.0;24.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.0020580291748046875;0.00379180908203125
0.0;1.0;64.0;64.0;64.0;64.0;25.0;64.0;64.0;4.0;0.0;64.0;64.0;100.0;0.0771334171295166;0.002060413360595703;0.0037088394165039062
0.0;1.0;64.0;64.0;64.0;64.0;26.0;64.0;64.0;4.0;0.0;60.0;60.0;100.0;0.0771334171295166;0.0021784305572509766;0.003835439682006836
0.0;2.0;1340.0;1340.0;1340.0;1340.0;0.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.10093522071838379;0.01410675048828125
0.0;2.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;2.0;1340.0;1339.0;1340.0;1339.0;2.0;1339.0;1339.0;4.0;0.0;1339.0;1339.0;100.0;0.007732868194580078;0.01209568977355957;0.02104663848876953
0.0;2.0;1340.0;1240.0;1340.0;1240.0;3.0;1240.0;1240.0;4.0;0.0;1240.0;1240.0;100.0;0.007732868194580078;0.01219797134399414;0.02105879783630371
0.0;2.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;2.0;1340.0;1340.0;1340.0;1340.0;5.0;1340.0;1340.0;4.0;0.0;1337.0;1337.0;100.0;0.007732868194580078;0.10067605972290039;0.016531705856323242
0.0;2.0;1340.0;1325.0;1340.0;1325.0;6.0;1325.0;1325.0;4.0;0.0;1313.0;1313.0;100.0;0.007732868194580078;0.007161617279052734;0.020312786102294922
0.0;2.0;1340.0;1340.0;1340.0;1340.0;7.0;1340.0;1340.0;4.0;0.0;1294.0;1294.0;100.0;0.007732868194580078;0.0032570362091064453;0.011056661605834961
0.0;2.0;1340.0;1340.0;1340.0;1340.0;8.0;1340.0;1340.0;4.0;0.0;969.0;969.0;100.0;0.007732868194580078;0.0065631866455078125;0.027725696563720703
0.0;2.0;1340.0;1340.0;1340.0;1340.0;9.0;1340.0;1340.0;4.0;0.0;1185.0;1185.0;100.0;0.007732868194580078;0.0016794204711914062;0.009898900985717773
0.0;2.0;1340.0;1340.0;1340.0;1340.0;10.0;1340.0;1340.0;4.0;0.0;1321.0;1321.0;100.0;0.007732868194580078;0.08439922332763672;0.012050390243530273
0.0;2.0;1340.0;1340.0;1340.0;1340.0;11.0;1340.0;1340.0;4.0;0.0;1329.0;1329.0;100.0;0.007732868194580078;0.08484959602355957;0.012041568756103516
0.0;2.0;1340.0;1340.0;1340.0;1340.0;12.0;1340.0;1340.0;4.0;0.0;1336.0;1336.0;100.0;0.007732868194580078;0.08344435691833496;0.011845827102661133
0.0;2.0;1340.0;1340.0;1340.0;1340.0;13.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.08216214179992676;0.012113571166992188
0.0;2.0;1340.0;1340.0;1340.0;1340.0;14.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0024330615997314453;0.01820087432861328
0.0;2.0;1340.0;1340.0;1340.0;1340.0;15.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0018124580383300781;0.016269922256469727
0.0;2.0;1340.0;1340.0;1340.0;1340.0;16.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0018146038055419922;0.01787257194519043
0.0;2.0;1340.0;1340.0;1340.0;1340.0;17.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0014836788177490234;0.016798734664916992
0.0;2.0;1340.0;1340.0;1340.0;1340.0;18.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0015635490417480469;0.01295781135559082
0.0;2.0;1340.0;1340.0;1340.0;1340.0;19.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0013980865478515625;0.011872529983520508
0.0;2.0;1340.0;1340.0;1340.0;1340.0;20.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0014967918395996094;0.012729883193969727
0.0;2.0;1340.0;1340.0;1340.0;1340.0;21.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.0011093616485595703;0.012027263641357422
0.0;2.0;1340.0;1340.0;1340.0;1340.0;22.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.01497030258178711;0.01166534423828125
0.0;2.0;1340.0;1340.0;1340.0;1340.0;23.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.01510477066040039;0.012473106384277344
0.0;2.0;1340.0;1340.0;1340.0;1340.0;24.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.015288114547729492;0.012322187423706055
0.0;2.0;1340.0;1340.0;1340.0;1340.0;25.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.013818740844726562;0.013002634048461914
0.0;2.0;1340.0;1340.0;1340.0;1340.0;26.0;1340.0;1340.0;4.0;0.0;1340.0;1340.0;100.0;0.007732868194580078;0.01311802864074707;0.012454032897949219
0.0;3.0;3701.0;3701.0;3701.0;3701.0;0.0;3701.0;3701.0;4.0;0.0;3701.0;3701.0;100.0;0.044936180114746094;0.045198917388916016;0.04166841506958008
0.0;3.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;3.0;3701.0;3430.0;3701.0;3430.0;2.0;3430.0;3430.0;4.0;0.0;3430.0;3430.0;100.0;0.044936180114746094;0.014390707015991211;0.04463505744934082
0.0;3.0;3701.0;3701.0;3701.0;3701.0;3.0;3701.0;3701.0;4.0;0.0;3701.0;3701.0;100.0;0.044936180114746094;0.03086996078491211;0.0710906982421875
0.0;3.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;3.0;3701.0;3701.0;3701.0;3701.0;5.0;3701.0;3701.0;4.0;0.0;3701.0;3701.0;100.0;0.044936180114746094;0.10758495330810547;0.06266236305236816
0.0;3.0;3701.0;3350.0;3701.0;3350.0;6.0;3350.0;3350.0;4.0;0.0;3347.0;3347.0;100.0;0.044936180114746094;0.017284631729125977;0.06301712989807129
0.0;3.0;3701.0;3648.0;3701.0;3648.0;7.0;3648.0;3648.0;4.0;0.0;3624.0;3624.0;100.0;0.044936180114746094;0.007679939270019531;0.03653740882873535
0.0;3.0;3701.0;3701.0;3701.0;3701.0;8.0;3701.0;3701.0;4.0;0.0;3485.0;3485.0;100.0;0.044936180114746094;0.014763832092285156;0.1284651756286621
