K;Detector;Descriptor;Matching;Matcher;Keypoint1;Keypoint2;Descriptor1;Descriptor2;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;0.0;4.0;0.0;553.0;553.0;553.0;553.0;553.0;553.0;100.0;0.1016228199005127;0.09617376327514648;0.008128643035888672
0.0;0.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;3.0;4.0;0.0;553.0;553.0;530.0;530.0;408.0;408.0;100.0;0.1016228199005127;0.00516963005065918;0.009063005447387695
0.0;0.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;5.0;4.0;0.0;553.0;553.0;553.0;553.0;426.0;426.0;100.0;0.1016228199005127;0.09781002998352051;0.00659632682800293
0.0;0.0;6.0;4.0;0.0;553.0;553.0;440.0;440.0;331.0;331.0;100.0;0.1016228199005127;0.002671480178833008;0.005559206008911133
0.0;0.0;7.0;4.0;0.0;553.0;553.0;489.0;489.0;488.0;488.0;100.0;0.1016228199005127;0.0013365745544433594;0.005294084548950195
0.0;0.0;8.0;4.0;0.0;553.0;553.0;553.0;553.0;423.0;423.0;100.0;0.1016228199005127;0.0035054683685302734;0.009912490844726562
0.0;0.0;9.0;4.0;0.0;553.0;553.0;496.0;496.0;492.0;492.0;100.0;0.1016228199005127;0.0008227825164794922;0.005575418472290039
0.0;0.0;10.0;4.0;0.0;553.0;553.0;553.0;553.0;553.0;553.0;100.0;0.1016228199005127;0.035280704498291016;0.006551027297973633
0.0;0.0;11.0;4.0;0.0;3381.0;3381.0;3381.0;3381.0;3381.0;3381.0;100.0;0.14459753036499023;0.0026340484619140625;0.05777692794799805
0.0;0.0;12.0;4.0;0.0;553.0;553.0;553.0;553.0;553.0;553.0;100.0;0.1016228199005127;0.0009469985961914062;0.0065729618072509766
0.0;0.0;13.0;4.0;0.0;553.0;553.0;553.0;553.0;553.0;553.0;100.0;0.1016228199005127;0.005967855453491211;0.005517721176147461
0.0;1.0;0.0;4.0;0.0;64.0;64.0;64.0;64.0;64.0;64.0;100.0;0.06867599487304688;0.023830413818359375;0.004015207290649414
