K;Detector;Descriptor;Matching;Matcher;Keypoint1;Keypoint2;Descriptor1;Descriptor2;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;0.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;100.0;0.07792139053344727;0.07258057594299316;0.022176742553710938
0.0;0.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;3.0;4.0;0.0;2000.0;2000.0;1965.0;1965.0;1584.0;1584.0;100.0;0.07792139053344727;0.016777515411376953;0.03299713134765625
0.0;0.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;5.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;1614.0;1614.0;100.0;0.07792139053344727;0.09657502174377441;0.027683734893798828
0.0;0.0;6.0;4.0;0.0;2000.0;2000.0;1779.0;1779.0;1423.0;1423.0;100.0;0.07792139053344727;0.00924825668334961;0.026738882064819336
0.0;0.0;7.0;4.0;0.0;2000.0;2000.0;1920.0;1920.0;1919.0;1919.0;100.0;0.07792139053344727;0.004238605499267578;0.016727924346923828
0.0;0.0;8.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;1603.0;1603.0;100.0;0.07792139053344727;0.006405830383300781;0.04802298545837402
0.0;0.0;9.0;4.0;0.0;2000.0;2000.0;1933.0;1933.0;1899.0;1899.0;100.0;0.07792139053344727;0.0022597312927246094;0.01336359977722168
0.0;0.0;10.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;100.0;0.07792139053344727;0.1163492202758789;0.017764568328857422
0.0;0.0;11.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;100.0;0.07792139053344727;0.002200603485107422;0.032300710678100586
0.0;0.0;12.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;100.0;0.07792139053344727;0.0017294883728027344;0.02245354652404785
0.0;0.0;13.0;4.0;0.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;100.0;0.07792139053344727;0.02124166488647461;0.017781496047973633
0.0;1.0;0.0;4.0;0.0;515.0;515.0;515.0;515.0;515.0;515.0;100.0;0.06250238418579102;0.021709203720092773;0.007671356201171875
0.0;1.0;1.0;4.0;0.0;515.0;515.0;515.0;515.0;515.0;515.0;100.0;0.06250238418579102;0.055773258209228516;0.00738215446472168
0.0;1.0;2.0;4.0;0.0;515.0;515.0;500.0;500.0;500.0;500.0;100.0;0.06250238418579102;0.004208087921142578;0.006827592849731445
0.0;1.0;3.0;4.0;0.0;515.0;515.0;515.0;515.0;515.0;515.0;100.0;0.06250238418579102;0.004914999008178711;0.008759498596191406
