K;Detector;Descriptor;Matching;Matcher;Keypoint1;Keypoint2;Descriptor1;Descriptor2;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;0.0;4.0;0.0;457.0;216.0;457.0;216.0;167.0;182.0;91.75824175824175;0.017994165420532227;0.016726255416870117;0.0009758472442626953
0.0;0.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;3.0;4.0;0.0;457.0;216.0;446.0;209.0;4.0;107.0;3.7383177570093453;0.017994165420532227;0.0019729137420654297;0.00391077995300293
0.0;0.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;5.0;4.0;0.0;457.0;216.0;457.0;216.0;43.0;92.0;46.73913043478261;0.017994165420532227;0.01721930503845215;0.00152587890625
0.0;0.0;6.0;4.0;0.0;457.0;216.0;385.0;137.0;0.0;54.0;0.0;0.017994165420532227;0.0010693073272705078;0.0010313987731933594
0.0;0.0;7.0;4.0;0.0;457.0;216.0;442.0;199.0;0.0;104.0;0.0;0.017994165420532227;0.0005629062652587891;0.0007693767547607422
0.0;0.0;8.0;4.0;0.0;457.0;216.0;457.0;216.0;7.0;117.0;5.982905982905983;0.017994165420532227;0.0013897418975830078;0.0018038749694824219
0.0;0.0;9.0;4.0;0.0;457.0;216.0;444.0;205.0;1.0;134.0;0.7462686567164178;0.017994165420532227;0.0005221366882324219;0.0007183551788330078
0.0;0.0;10.0;4.0;0.0;457.0;216.0;457.0;216.0;133.0;173.0;76.878612716763;0.017994165420532227;0.015357494354248047;0.0012900829315185547
0.0;0.0;11.0;4.0;0.0;457.0;216.0;457.0;216.0;141.0;161.0;87.5776397515528;0.017994165420532227;0.00040340423583984375;0.0015780925750732422
0.0;0.0;12.0;4.0;0.0;457.0;216.0;457.0;216.0;124.0;156.0;79.48717948717949;0.017994165420532227;0.0002715587615966797;0.0010826587677001953
0.0;0.0;13.0;4.0;0.0;457.0;216.0;457.0;216.0;149.0;178.0;83.70786516853933;0.017994165420532227;0.002881765365600586;0.0011467933654785156
0.0;1.0;0.0;4.0;0.0;97.0;36.0;97.0;36.0;33.0;33.0;100.0;0.014954090118408203;0.004967927932739258;0.00020194053649902344
0.0;1.0;1.0;4.0;0.0;97.0;36.0;97.0;36.0;33.0;34.0;97.05882352941177;0.014954090118408203;0.011733055114746094;0.00020956993103027344
0.0;1.0;2.0;4.0;0.0;97.0;36.0;96.0;34.0;0.0;14.0;0.0;0.014954090118408203;0.0008826255798339844;0.00015425682067871094
0.0;1.0;3.0;4.0;0.0;97.0;36.0;97.0;36.0;27.0;31.0;87.09677419354838;0.014954090118408203;0.0005774497985839844;0.00022220611572265625
0.0;1.0;4.0;4.0;0.0;97.0;36.0;97.0;36.0;0.0;0.0;0.0;0.014954090118408203;0.062276363372802734;0.00013184547424316406
0.0;1.0;5.0;4.0;0.0;97.0;36.0;97.0;36.0;5.0;16.0;31.25;0.014954090118408203;0.01668691635131836;0.00026917457580566406
0.0;1.0;6.0;4.0;0.0;97.0;36.0;93.0;32.0;1.0;13.0;7.6923076923076925;0.014954090118408203;0.00030684471130371094;0.00022840499877929688
0.0;1.0;7.0;4.0;0.0;97.0;36.0;97.0;36.0;2.0;15.0;13.333333333333334;0.014954090118408203;0.0003504753112792969;0.00017571449279785156
0.0;1.0;8.0;4.0;0.0;97.0;36.0;97.0;36.0;0.0;18.0;0.0;0.014954090118408203;0.0005295276641845703;0.0003540515899658203
0.0;1.0;9.0;4.0;0.0;97.0;36.0;97.0;36.0;0.0;27.0;0.0;0.014954090118408203;0.00029778480529785156;0.0002052783966064453
0.0;1.0;10.0;4.0;0.0;97.0;36.0;97.0;36.0;35.0;35.0;100.0;0.014954090118408203;0.004743099212646484;0.0003840923309326172
0.0;1.0;11.0;4.0;0.0;97.0;36.0;97.0;36.0;33.0;34.0;97.05882352941177;0.014954090118408203;0.0002295970916748047;0.00032258033752441406
0.0;1.0;12.0;4.0;0.0;97.0;36.0;97.0;36.0;33.0;34.0;97.05882352941177;0.014954090118408203;0.0001838207244873047;0.0002827644348144531
0.0;1.0;13.0;4.0;0.0;97.0;36.0;97.0;36.0;32.0;33.0;96.96969696969697;0.014954090118408203;0.001024007797241211;0.00026345252990722656
0.0;2.0;0.0;4.0;0.0;635.0;428.0;635.0;428.0;8.0;52.0;15.384615384615385;0.002158641815185547;0.024391651153564453;0.0014483928680419922
0.0;2.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;2.0;4.0;0.0;635.0;428.0;633.0;423.0;4.0;129.0;3.10077519379845;0.002158641815185547;0.0024535655975341797;0.0013740062713623047
0.0;2.0;3.0;4.0;0.0;635.0;428.0;518.0;154.0;1.0;57.0;1.7543859649122806;0.002158641815185547;0.0016188621520996094;0.0008234977722167969
0.0;2.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;5.0;4.0;0.0;635.0;428.0;635.0;428.0;56.0;89.0;62.92134831460674;0.002158641815185547;0.023122549057006836;0.002869844436645508
0.0;2.0;6.0;4.0;0.0;635.0;428.0;630.0;390.0;0.0;77.0;0.0;0.002158641815185547;0.0019004344940185547;0.001978635787963867
0.0;2.0;7.0;4.0;0.0;635.0;428.0;635.0;428.0;3.0;125.0;2.4;0.002158641815185547;0.0010013580322265625;0.0011897087097167969
0.0;2.0;8.0;4.0;0.0;635.0;428.0;635.0;428.0;14.0;158.0;8.860759493670885;0.002158641815185547;0.002329111099243164;0.0031473636627197266
0.0;2.0;9.0;4.0;0.0;635.0;428.0;635.0;428.0;6.0;208.0;2.8846153846153846;0.002158641815185547;0.0006208419799804688;0.0010809898376464844
0.0;2.0;10.0;4.0;0.0;635.0;428.0;635.0;428.0;1.0;46.0;2.1739130434782608;0.002158641815185547;0.025719642639160156;0.003378152847290039
0.0;2.0;11.0;4.0;0.0;635.0;428.0;635.0;428.0;9.0;109.0;8.256880733944955;0.002158641815185547;0.0018322467803955078;0.0022585391998291016
0.0;2.0;12.0;4.0;0.0;635.0;428.0;635.0;428.0;6.0;124.0;4.838709677419355;0.002158641815185547;0.0003936290740966797;0.0011560916900634766
