K;Detector;Keypoint1;Keypoint11;Keypoint2;Keypoint22;Descriptor;Descriptor1;Descriptor2;Matching;Matcher;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;1172.0;1172.0;1172.0;1172.0;0.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.07555055618286133;0.016198396682739258
0.0;0.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;nan;nan;nan;nan;2.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;1172.0;1119.0;1172.0;1119.0;3.0;1119.0;1119.0;4.0;0.0;892.0;892.0;100.0;0.08787012100219727;0.009502649307250977;0.02015542984008789
0.0;0.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;1172.0;1172.0;1172.0;1172.0;5.0;1172.0;1172.0;4.0;0.0;938.0;938.0;100.0;0.08787012100219727;0.07816052436828613;0.016452550888061523
0.0;0.0;1172.0;835.0;1172.0;835.0;6.0;835.0;835.0;4.0;0.0;666.0;666.0;100.0;0.08787012100219727;0.004498958587646484;0.012098550796508789
0.0;0.0;1172.0;1040.0;1172.0;1040.0;7.0;1040.0;1040.0;4.0;0.0;1037.0;1037.0;100.0;0.08787012100219727;0.002358675003051758;0.008447408676147461
0.0;0.0;1172.0;1172.0;1172.0;1172.0;8.0;1172.0;1172.0;4.0;0.0;932.0;932.0;100.0;0.08787012100219727;0.0048253536224365234;0.02353692054748535
0.0;0.0;1172.0;1067.0;1172.0;1067.0;9.0;1067.0;1067.0;4.0;0.0;1048.0;1048.0;100.0;0.08787012100219727;0.0012736320495605469;0.007043123245239258
0.0;0.0;1172.0;1172.0;1172.0;1172.0;10.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.07052254676818848;0.01110529899597168
0.0;0.0;1172.0;1172.0;1172.0;1172.0;11.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.06869864463806152;0.010112762451171875
0.0;0.0;1172.0;1172.0;1172.0;1172.0;12.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.06987333297729492;0.011133670806884766
0.0;0.0;1172.0;1172.0;1172.0;1172.0;13.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0663597583770752;0.010564088821411133
0.0;0.0;1172.0;1172.0;1172.0;1172.0;14.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0014297962188720703;0.014599323272705078
0.0;0.0;1172.0;1172.0;1172.0;1172.0;15.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0013599395751953125;0.014750480651855469
0.0;0.0;1172.0;1172.0;1172.0;1172.0;16.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.001081228256225586;0.01272273063659668
0.0;0.0;1172.0;1172.0;1172.0;1172.0;17.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0011739730834960938;0.014894723892211914
0.0;0.0;1172.0;1172.0;1172.0;1172.0;18.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0010709762573242188;0.010817766189575195
0.0;0.0;1172.0;1172.0;1172.0;1172.0;19.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0010361671447753906;0.011406898498535156
0.0;0.0;1172.0;1172.0;1172.0;1172.0;20.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0008976459503173828;0.010908842086791992
0.0;0.0;1172.0;1172.0;1172.0;1172.0;21.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.0008008480072021484;0.010607004165649414
0.0;0.0;1172.0;1172.0;1172.0;1172.0;22.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.012267351150512695;0.011422157287597656
0.0;0.0;1172.0;1172.0;1172.0;1172.0;23.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.011077880859375;0.010227441787719727
0.0;0.0;1172.0;1172.0;1172.0;1172.0;24.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.011253595352172852;0.0101776123046875
0.0;0.0;1172.0;1172.0;1172.0;1172.0;25.0;1172.0;1172.0;4.0;0.0;1172.0;1172.0;100.0;0.08787012100219727;0.010389328002929688;0.011634349822998047
0.0;0.0;1172.0;1172.0;1172.0;1172.0;26.0;1172.0;1172.0;4.0;0.0;1077.0;1077.0;100.0;0.08787012100219727;0.005761623382568359;0.009904623031616211
0.0;1.0;251.0;251.0;251.0;251.0;0.0;251.0;251.0;4.0;0.0;251.0;251.0;100.0;0.055471181869506836;0.017567157745361328;0.0053861141204833984
0.0;1.0;251.0;251.0;251.0;251.0;1.0;251.0;251.0;4.0;0.0;251.0;251.0;100.0;0.055471181869506836;0.04831647872924805;0.004698276519775391
0.0;1.0;251.0;244.0;251.0;244.0;2.0;244.0;244.0;4.0;0.0;244.0;244.0;100.0;0.055471181869506836;0.003658771514892578;0.005064725875854492
