K;Detector;Keypoint1;Keypoint11;Keypoint2;Keypoint22;Descriptor;Descriptor1;Descriptor2;Matching;Matcher;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;2000.0;2000.0;2000.0;2000.0;0.0;2000.0;2000.0;4.0;0.0;1637.0;1663.0;98.43656043295249;0.2487640380859375;0.20714044570922852;0.01840806007385254
0.0;0.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;nan;nan;nan;nan;2.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;2000.0;1998.0;2000.0;1999.0;3.0;1998.0;1999.0;4.0;0.0;783.0;1156.0;67.73356401384083;0.2487640380859375;0.01811075210571289;0.02798318862915039
0.0;0.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;2000.0;2000.0;2000.0;2000.0;5.0;2000.0;2000.0;4.0;0.0;1227.0;1247.0;98.39615076182838;0.2487640380859375;0.14471101760864258;0.020848512649536133
0.0;0.0;2000.0;1937.0;2000.0;1932.0;6.0;1937.0;1932.0;4.0;0.0;25.0;1169.0;2.1385799828913603;0.2487640380859375;0.011110067367553711;0.02442455291748047
0.0;0.0;2000.0;1997.0;2000.0;1997.0;7.0;1997.0;1997.0;4.0;0.0;45.0;1430.0;3.146853146853147;0.2487640380859375;0.004796743392944336;0.007957935333251953
0.0;0.0;2000.0;2000.0;2000.0;2000.0;8.0;2000.0;2000.0;4.0;0.0;0.0;426.0;0.0;0.2487640380859375;0.009475469589233398;0.036783695220947266
0.0;0.0;2000.0;1997.0;2000.0;1997.0;9.0;1997.0;1997.0;4.0;0.0;25.0;1158.0;2.158894645941278;0.2487640380859375;0.0026938915252685547;0.005362987518310547
0.0;0.0;2000.0;2000.0;2000.0;2000.0;10.0;2000.0;2000.0;4.0;0.0;1629.0;1660.0;98.13253012048193;0.2487640380859375;0.11950421333312988;0.011184453964233398
0.0;0.0;2000.0;2000.0;2000.0;2000.0;11.0;2000.0;2000.0;4.0;0.0;1631.0;1660.0;98.25301204819277;0.2487640380859375;0.12032389640808105;0.011954545974731445
0.0;0.0;2000.0;2000.0;2000.0;2000.0;12.0;2000.0;2000.0;4.0;0.0;1634.0;1662.0;98.31528279181708;0.2487640380859375;0.11963129043579102;0.011284351348876953
0.0;0.0;2000.0;2000.0;2000.0;2000.0;13.0;2000.0;2000.0;4.0;0.0;1374.0;1467.0;93.66053169734151;0.2487640380859375;0.11342978477478027;0.010748147964477539
0.0;0.0;2000.0;2000.0;2000.0;2000.0;14.0;2000.0;2000.0;4.0;0.0;1547.0;1577.0;98.09765377298667;0.2487640380859375;0.0025107860565185547;0.02544093132019043
0.0;0.0;2000.0;2000.0;2000.0;2000.0;15.0;2000.0;2000.0;4.0;0.0;1536.0;1575.0;97.52380952380952;0.2487640380859375;0.0021753311157226562;0.019687891006469727
0.0;0.0;2000.0;2000.0;2000.0;2000.0;16.0;2000.0;2000.0;4.0;0.0;1495.0;1535.0;97.39413680781759;0.2487640380859375;0.0020699501037597656;0.020035743713378906
0.0;0.0;2000.0;2000.0;2000.0;2000.0;17.0;2000.0;2000.0;4.0;0.0;1102.0;1176.0;93.70748299319727;0.2487640380859375;0.001611948013305664;0.01867508888244629
0.0;0.0;2000.0;2000.0;2000.0;2000.0;18.0;2000.0;2000.0;4.0;0.0;1368.0;1453.0;94.15003441156229;0.2487640380859375;0.0018086433410644531;0.013214349746704102
0.0;0.0;2000.0;2000.0;2000.0;2000.0;19.0;2000.0;2000.0;4.0;0.0;1358.0;1444.0;94.04432132963989;0.2487640380859375;0.0017168521881103516;0.012853145599365234
0.0;0.0;2000.0;2000.0;2000.0;2000.0;20.0;2000.0;2000.0;4.0;0.0;1292.0;1385.0;93.28519855595668;0.2487640380859375;0.0016505718231201172;0.012325763702392578
0.0;0.0;2000.0;2000.0;2000.0;2000.0;21.0;2000.0;2000.0;4.0;0.0;839.0;979.0;85.6996935648621;0.2487640380859375;0.0014958381652832031;0.011197805404663086
0.0;0.0;2000.0;2000.0;2000.0;2000.0;22.0;2000.0;2000.0;4.0;0.0;1396.0;1459.0;95.68197395476354;0.2487640380859375;0.017651081085205078;0.012765884399414062
0.0;0.0;2000.0;2000.0;2000.0;2000.0;23.0;2000.0;2000.0;4.0;0.0;1355.0;1427.0;94.95444989488438;0.2487640380859375;0.018208742141723633;0.012697935104370117
0.0;0.0;2000.0;2000.0;2000.0;2000.0;24.0;2000.0;2000.0;4.0;0.0;1288.0;1367.0;94.22092172640819;0.2487640380859375;0.01750969886779785;0.012322664260864258
0.0;0.0;2000.0;2000.0;2000.0;2000.0;25.0;2000.0;2000.0;4.0;0.0;1016.0;1183.0;85.88334742180896;0.2487640380859375;0.01627516746520996;0.011862516403198242
0.0;0.0;2000.0;2000.0;2000.0;2000.0;26.0;2000.0;2000.0;4.0;0.0;628.0;917.0;68.48418756815703;0.2487640380859375;0.008809089660644531;0.010946035385131836
0.0;1.0;742.0;742.0;461.0;461.0;0.0;742.0;461.0;4.0;0.0;427.0;429.0;99.53379953379954;0.12472867965698242;0.0359196662902832;0.0043218135833740234
0.0;1.0;742.0;742.0;461.0;461.0;1.0;742.0;461.0;4.0;0.0;422.0;430.0;98.13953488372093;0.12472867965698242;0.09240365028381348;0.0048902034759521484
0.0;1.0;742.0;735.0;461.0;456.0;2.0;735.0;456.0;4.0;0.0;74.0;370.0;20.0;0.12472867965698242;0.007050752639770508;0.0032591819763183594
0.0;1.0;742.0;742.0;461.0;461.0;3.0;742.0;461.0;4.0;0.0;402.0;412.0;97.57281553398059;0.12472867965698242;0.00530695915222168;0.0059511661529541016
0.0;1.0;742.0;742.0;461.0;461.0;4.0;742.0;461.0;4.0;0.0;0.0;0.0;0.0;0.12472867965698242;0.5108304023742676;0.0012116432189941406
0.0;1.0;742.0;742.0;461.0;461.0;5.0;742.0;461.0;4.0;0.0;449.0;450.0;99.77777777777777;0.12472867965698242;0.12442302703857422;0.004824399948120117
0.0;1.0;742.0;735.0;461.0;456.0;6.0;735.0;456.0;4.0;0.0;89.0;412.0;21.601941747572813;0.12472867965698242;0.0034589767456054688;0.004078865051269531
