+---------------------------------------------------------------------------------------------------+
|                                      Résultats du scénario 4                                      |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Méthode       | Temps d’exécution (s) | Nombre de points/image | Taux d’appariement correcte |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |          0.84         |         3733.0         |            96.839           |
| fast-brief_bf.HAMG |         0.105         |         3709.0         |            95.309           |
| star-latch_bf.HAMG |         0.114         |         520.0          |            92.885           |
| star-brief_bf.HAMG |         0.025         |         507.0          |            91.124           |
|  fast-latch_bf.L1  |         0.883         |         3126.0         |            90.851           |
|  star-latch_bf.L1  |         0.119         |         480.0          |            90.208           |
|  star-brief_bf.L1  |         0.027         |         477.0          |            89.727           |
|  fast-brief_bf.L1  |         0.135         |         3224.0         |            89.33            |
|     kaze_bf.L1     |         0.617         |         1668.0         |            88.189           |
|  star-brief_bf.L2  |         0.026         |         452.0          |            88.053           |
|  star-latch_bf.L2  |         0.115         |         444.0          |            87.613           |
|     kaze_bf.L2     |         0.605         |         1649.0         |            87.144           |
|    akaze_bf.L1     |         0.133         |         1152.0         |            86.806           |
| mser-freak_bf.HAMG |         0.467         |         104.0          |            86.538           |
|    akaze_bf.L2     |         0.109         |         1122.0         |            85.116           |
| star-freak_bf.HAMG |         0.032         |         394.0          |            84.772           |
| mser-brief_bf.HAMG |         0.435         |         131.0          |            82.443           |
|    brisk_bf.L1     |         0.181         |         2160.0         |            82.037           |
| mser-latch_bf.HAMG |         0.484         |         142.0          |            81.69            |
|     sift_bf.L1     |         0.226         |         1592.0         |            80.842           |
| fast-freak_bf.HAMG |         0.205         |         2957.0         |            80.825           |
|  fast-latch_bf.L2  |         0.885         |         2848.0         |            80.407           |
|  star-freak_bf.L1  |         0.032         |         371.0          |            80.323           |
|  mser-brief_bf.L1  |         0.562         |         126.0          |            80.159           |
|  fast-brief_bf.L2  |          0.14         |         2975.0         |            79.866           |
|  star-freak_bf.L2  |         0.035         |         347.0          |            79.827           |
|  mser-freak_bf.L1  |         0.465         |         110.0          |            79.091           |
|    brisk_bf.L2     |         0.227         |         2127.0         |            78.937           |
|     sift_bf.L2     |         0.183         |         1656.0         |            76.208           |
|     orb_bf.L1      |          0.02         |         241.0          |            74.689           |
|  mser-freak_bf.L2  |         0.416         |         104.0          |            73.077           |
|  fast-freak_bf.L1  |         0.179         |         2626.0         |            72.544           |
|  mser-brief_bf.L2  |         0.437         |         125.0          |             72.0            |
|  mser-latch_bf.L1  |         0.619         |         137.0          |            70.803           |
|     orb_bf.L2      |         0.019         |         216.0          |            67.593           |
|  mser-latch_bf.L2  |         0.577         |         134.0          |            67.164           |
|  fast-freak_bf.L2  |         0.314         |         2473.0         |            63.647           |
|  mser-lucid_bf.L2  |         0.496         |         136.0          |            19.853           |
|  mser-lucid_bf.L1  |         0.538         |         134.0          |            16.418           |
|  star-lucid_bf.L2  |         0.022         |         332.0          |            11.446           |
|  star-lucid_bf.L1  |         0.023         |         319.0          |            11.285           |
| mser-lucid_bf.HAMG |         0.434         |         127.0          |            8.661            |
|  fast-lucid_bf.L2  |          0.11         |         2859.0         |             7.24            |
|  fast-lucid_bf.L1  |         0.107         |         2881.0         |            6.456            |
| star-lucid_bf.HAMG |         0.021         |         322.0          |            6.211            |
| fast-lucid_bf.HAMG |         0.082         |         3149.0         |            4.478            |
+--------------------+-----------------------+------------------------+-----------------------------+
+---------------------------------------------------------------------------------------------------+
|                                      Résultats du scénario 5                                      |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Méthode       | Temps d’exécution (s) | Nombre de points/image | Taux d’appariement correcte |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         1.124         |        4164.245        |            91.283           |
| fast-brief_bf.HAMG |          0.16         |        4241.714        |            89.696           |
| star-brief_bf.HAMG |         0.028         |        399.592         |            86.863           |
| star-latch_bf.HAMG |         0.109         |        407.776         |            86.651           |
|     kaze_bf.L1     |         0.668         |         1491.0         |            84.709           |
|     kaze_bf.L2     |         0.656         |        1462.531        |            84.404           |
