K;Detector;Keypoint1;Keypoint11;Keypoint2;Keypoint22;Descriptor;Descriptor1;Descriptor2;Matching;Matcher;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;2000.0;2000.0;2000.0;2000.0;0.0;2000.0;2000.0;4.0;0.0;1318.0;1391.0;94.75197699496765;0.2958073616027832;0.0;0.020606040954589844
0.0;0.0;nan;nan;nan;nan;1.0;nan;nan;4.0;0.0;nan;nan;0.0;nan;nan;nan
0.0;0.0;nan;nan;nan;nan;2.0;nan;nan;4.0;0.0;nan;nan;0.0;nan;nan;nan
0.0;0.0;2000.0;1998.0;2000.0;2000.0;3.0;1998.0;2000.0;4.0;0.0;744.0;1076.0;69.14498141263941;0.2958073616027832;0.0;0.03153729438781738
0.0;0.0;nan;nan;nan;nan;4.0;nan;nan;4.0;0.0;nan;nan;0.0;nan;nan;nan
0.0;0.0;2000.0;2000.0;2000.0;2000.0;5.0;2000.0;2000.0;4.0;0.0;1004.0;1077.0;93.22191272051997;0.2958073616027832;0.0;0.026246309280395508
0.0;0.0;2000.0;1937.0;2000.0;1995.0;6.0;1937.0;1995.0;4.0;0.0;4.0;1043.0;0.38350910834132307;0.2958073616027832;0.0;0.028941631317138672
0.0;0.0;2000.0;1997.0;2000.0;1999.0;7.0;1997.0;1999.0;4.0;0.0;21.0;1084.0;1.9372693726937271;0.2958073616027832;0.0;0.015406370162963867
0.0;0.0;2000.0;2000.0;2000.0;2000.0;8.0;2000.0;2000.0;4.0;0.0;356.0;729.0;48.83401920438957;0.2958073616027832;0.0;0.04757976531982422
0.0;0.0;2000.0;1997.0;2000.0;1999.0;9.0;1997.0;1999.0;4.0;0.0;5.0;1002.0;0.499001996007984;0.2958073616027832;0.0;0.010080814361572266
0.0;0.0;2000.0;2000.0;2000.0;2000.0;10.0;2000.0;2000.0;4.0;0.0;1262.0;1367.0;92.31894659839064;0.2958073616027832;0.0;0.016477108001708984
0.0;0.0;2000.0;2000.0;2000.0;2000.0;11.0;2000.0;2000.0;4.0;0.0;1242.0;1348.0;92.13649851632047;0.2958073616027832;0.0;0.016561031341552734
0.0;0.0;2000.0;2000.0;2000.0;2000.0;12.0;2000.0;2000.0;4.0;0.0;1173.0;1301.0;90.16141429669486;0.2958073616027832;0.0;0.015696287155151367
0.0;0.0;2000.0;2000.0;2000.0;2000.0;13.0;2000.0;2000.0;4.0;0.0;577.0;975.0;59.179487179487175;0.2958073616027832;0.0;0.013272762298583984
0.0;0.0;2000.0;2000.0;2000.0;2000.0;14.0;2000.0;2000.0;4.0;0.0;1110.0;1222.0;90.83469721767594;0.2958073616027832;0.0;0.02642369270324707
0.0;0.0;2000.0;2000.0;2000.0;2000.0;15.0;2000.0;2000.0;4.0;0.0;1074.0;1204.0;89.20265780730897;0.2958073616027832;0.0;0.025400638580322266
0.0;0.0;2000.0;2000.0;2000.0;2000.0;16.0;2000.0;2000.0;4.0;0.0;923.0;1096.0;84.21532846715328;0.2958073616027832;0.0;0.023929834365844727
0.0;0.0;2000.0;2000.0;2000.0;2000.0;17.0;2000.0;2000.0;4.0;0.0;229.0;573.0;39.9650959860384;0.2958073616027832;0.0;0.02021312713623047
0.0;0.0;2000.0;2000.0;2000.0;2000.0;18.0;2000.0;2000.0;4.0;0.0;871.0;1110.0;78.46846846846847;0.2958073616027832;0.0;0.016273975372314453
0.0;0.0;2000.0;2000.0;2000.0;2000.0;19.0;2000.0;2000.0;4.0;0.0;795.0;1052.0;75.57034220532319;0.2958073616027832;0.0;0.018096446990966797
0.0;0.0;2000.0;2000.0;2000.0;2000.0;20.0;2000.0;2000.0;4.0;0.0;653.0;958.0;68.16283924843424;0.2958073616027832;0.0;0.01616358757019043
0.0;0.0;2000.0;2000.0;2000.0;2000.0;21.0;2000.0;2000.0;4.0;0.0;94.0;534.0;17.60299625468165;0.2958073616027832;0.0;0.014584064483642578
0.0;0.0;2000.0;2000.0;2000.0;2000.0;22.0;2000.0;2000.0;4.0;0.0;1129.0;1270.0;88.89763779527559;0.2958073616027832;0.0;0.01673746109008789
0.0;0.0;2000.0;2000.0;2000.0;2000.0;23.0;2000.0;2000.0;4.0;0.0;1100.0;1249.0;88.07045636509207;0.2958073616027832;0.0;0.01811075210571289
0.0;0.0;2000.0;2000.0;2000.0;2000.0;24.0;2000.0;2000.0;4.0;0.0;989.0;1188.0;83.24915824915826;0.2958073616027832;0.0;0.01615285873413086
0.0;0.0;2000.0;2000.0;2000.0;2000.0;25.0;2000.0;2000.0;4.0;0.0;425.0;794.0;53.5264483627204;0.2958073616027832;0.0;0.013603448867797852
